               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.019487,           0.0052313,           0.0039629,             0.99725,                   1,               0.995,             0.81042,            0.014081,           0.0024919,           0.0013257,            0.004357,            0.004357,            0.004357
                  59,            0.018959,           0.0052956,           0.0021914,             0.99746,                   1,               0.995,             0.85551,             0.01374,           0.0024779,           0.0012954,            0.004258,            0.004258,            0.004258
                  60,            0.019861,           0.0054617,           0.0019652,             0.99742,                   1,               0.995,             0.84883,            0.014085,           0.0024722,           0.0011501,            0.004159,            0.004159,            0.004159
                  61,            0.019167,           0.0056279,            0.001846,             0.99739,                   1,               0.995,             0.84437,            0.013723,           0.0024402,           0.0011962,             0.00406,             0.00406,             0.00406
                  62,            0.018348,           0.0050612,           0.0021384,             0.99743,                   1,               0.995,             0.81612,            0.016036,           0.0025331,           0.0012172,            0.003961,            0.003961,            0.003961
                  63,            0.018235,           0.0049834,           0.0029159,             0.99745,                   1,               0.995,             0.86326,            0.012335,           0.0024063,           0.0011126,            0.003862,            0.003862,            0.003862
                  64,            0.017947,           0.0055049,           0.0020058,             0.99675,                   1,               0.995,             0.84838,            0.013607,           0.0024447,           0.0010366,            0.003763,            0.003763,            0.003763
                  65,            0.017621,           0.0053985,           0.0019826,             0.99759,                   1,               0.995,             0.86987,            0.012603,           0.0023668,           0.0010451,            0.003664,            0.003664,            0.003664
                  66,            0.017727,           0.0050983,           0.0017432,             0.99789,                   1,               0.995,             0.84046,            0.013775,           0.0024499,           0.0010571,            0.003565,            0.003565,            0.003565
                  67,            0.017378,           0.0055922,           0.0019515,             0.99776,                   1,               0.995,             0.85664,            0.013052,           0.0023824,           0.0010297,            0.003466,            0.003466,            0.003466
                  68,            0.016327,           0.0046554,           0.0015975,             0.99677,                   1,               0.995,             0.86856,            0.012372,           0.0023464,          0.00099556,            0.003367,            0.003367,            0.003367
                  69,            0.016607,           0.0047934,           0.0017102,             0.99752,                   1,               0.995,             0.84936,            0.013001,           0.0024097,          0.00098108,            0.003268,            0.003268,            0.003268
                  70,            0.016614,           0.0050302,           0.0013902,              0.9973,                   1,               0.995,             0.84599,            0.013344,           0.0025181,          0.00095568,            0.003169,            0.003169,            0.003169
                  71,            0.017034,           0.0052385,           0.0017683,             0.99761,                   1,               0.995,             0.85565,            0.012091,           0.0023164,           0.0009258,             0.00307,             0.00307,             0.00307
                  72,            0.016302,           0.0050276,           0.0017277,             0.99783,                   1,               0.995,             0.86172,            0.012264,           0.0023042,          0.00088708,            0.002971,            0.002971,            0.002971
                  73,            0.016211,           0.0051608,           0.0013054,             0.99765,                   1,               0.995,             0.86464,            0.012595,           0.0022825,           0.0008431,            0.002872,            0.002872,            0.002872
                  74,            0.015792,           0.0046815,           0.0015767,               0.998,                   1,               0.995,             0.86734,            0.012156,           0.0022755,          0.00082603,            0.002773,            0.002773,            0.002773
                  75,            0.015686,           0.0049284,           0.0013843,             0.99775,                   1,               0.995,             0.85707,            0.012688,           0.0022647,           0.0008135,            0.002674,            0.002674,            0.002674
                  76,            0.015746,           0.0048369,           0.0012915,             0.99785,                   1,               0.995,             0.87325,             0.01209,           0.0022371,          0.00080947,            0.002575,            0.002575,            0.002575
                  77,            0.015893,           0.0046706,           0.0014255,             0.99792,                   1,               0.995,             0.85932,             0.01228,           0.0022852,          0.00080864,            0.002476,            0.002476,            0.002476
                  78,            0.015162,           0.0047086,           0.0012361,              0.9978,                   1,               0.995,             0.86294,            0.012008,           0.0022876,          0.00078067,            0.002377,            0.002377,            0.002377
                  79,            0.015028,           0.0049201,            0.001243,             0.99766,                   1,               0.995,             0.87467,            0.011405,           0.0022554,          0.00076941,            0.002278,            0.002278,            0.002278
                  80,            0.014702,           0.0044383,           0.0013067,             0.99774,                   1,               0.995,             0.86347,             0.01201,           0.0022752,          0.00074905,            0.002179,            0.002179,            0.002179
                  81,            0.014469,           0.0047489,           0.0011108,             0.99789,                   1,               0.995,             0.87605,            0.011487,           0.0022391,          0.00071301,             0.00208,             0.00208,             0.00208
                  82,            0.015048,           0.0050214,           0.0015001,             0.99786,                   1,               0.995,             0.87526,             0.01162,           0.0022087,          0.00069824,            0.001981,            0.001981,            0.001981
                  83,            0.014236,           0.0046794,           0.0011584,             0.99789,                   1,               0.995,             0.88502,            0.011455,           0.0022132,          0.00065394,            0.001882,            0.001882,            0.001882
